nmbr,Development Name,Address,Property Website,Management Company,Public Phone #
1,Catalonia Apartments,,http://www.edenhousing.org/property/catalonia,"Eden Housing Management, Inc.",(408) 264-0784
2,Laurel Grove,777 Park Avenue,,,
3,Park Avenue Senior Apartments,Park and Sunol,,,
4,Second Street Studios,1150 S 2nd Street,,,
5,The Metropolitan (South Phase),2128 Monterey Road,http://charitieshousing.org/2112-monterey/,Charities Housing Management,
6,Vermont House,1072 and 1082 Vermont Street,,Abode Services,
1,101 San Fernando,"101 E.San Fernando St, Ste 100",http://www.essexapartmenthomes.com/apartment/101-san-fernando-san-jose-ca-5d0248854567,Essex Properties,(844) 437-3625
2,127 and 110 #22 Roundtable - NSP,"110, bldg 22, 127 Roundtable Dr.",http://streetsteam.org/,Downtown Streets Team,(408) 899-7350
3,1713 Ross,1713 Ross Circle,http://www.abodeservices.org/,Abode Services,(408) 941-1850
4,1726 Ross,1726 Ross Circle,http://www.abodeservices.org/,Abode Services,(408) 941-1850
5,1731 Ross,1731 Ross Circle,http://www.abodeservices.org/,Abode Services,(408) 941-1850
6,Almaden 1930,1930 Almaden,,,(408) 264-1930
7,Almaden Family Apartments,1501 Almaden Expy,http://www.winncompanies.com/san-jose/almaden/,WinnResidential California LP,(408) 275-1922
8,Almaden Garden Apartments,"947 Branham Lane, #C",http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 323-8020
9,Almaden Lake Apartments,978 Almaden Lake Drive and Winfield Boulevard,http://www.bridgehousing.com/properties/family/santa-clara/san-jose/almaden-lake,Bridge Property Management Company,(408) 323-8020
10,Almaden Lake Village,1045 Coleman Road,http://www.almadenlakevillage.com/,UDR,(408) 217-0906
11,Anton La Moraga Apartments,5822 Charlotte Drive,http://www.antonlamoraga.com/,St. Anton Multifamily,(408) 226-5822
12,Arbor Apartments,1582 Kooser Road,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 448-1288
13,Arbor Park Community,899 North King Road,https://midpenproperty.midpen-housing.org/propertydetail?id=a0n46000003MN29AAG,MidPen Housing Corporation,(408) 272-1588
14,Archer Studios,98 Archer Street,http://charitieshousing.org/archer-street/,Charities Housing Management,(408) 550-8300
15,Art Ark,1058 S.5th Street,http://www.artarkapts.com/,EAH Housing Inc.,(877) 259-1439
16,Ascent Apartments,5805 Charlotte Drive,http://www.sheaapartments.com/apartments/ascent/,Shea Properties,(844) 861-5236
17,Baker Park,4748 Campbell Avenue and Fallbrook Drive,https://midpenproperty.midpen-housing.org/propertydetail?id=a0n46000003MN2CAAW,MidPen Property Management Corporation,(408) 379-8440
18,Barker,3825 Barker Drive,http://www.abodeservices.org/,Abode Services,(408) 941-1850
19,Bella Castello,570 Keyes St,http://www.roemcorp.com/projects/bella-castello/,FPI Management Inc.,(408) 289-1122
20,Bendorf Drive Apts.,282 Danze Drive,https://jscosccha.com/property/bendorf-drive/,John Stewart Company,(408) 362-9233
21,Betty Anne Gardens,945 Lundy Ave,http://firsthousing.com.s90185.gridserver.com/blog/2009/05/03/bettyann/,John Stewart Company,(408) 254-4540
22,Blossom River,1000 Blossom River Way,https://jscosccha.com/property/blossom-river-apartments/,John Stewart Company,(408) 979-9442
23,Branham,1579 Branham Lane,http://www.abodeservices.org/,Abode Services,(408) 941-1850
24,Bridgeport Apartments,3678 Bridgeport Court,,C.H.D. PMS,(844) 240-4392
25,Brookwood Terrace Family Apartments,1346 E San Antonio St,http://www.roemcorp.com/projects/brookwood-terrace/,FPI Management Inc.,(408) 279-5700
26,Burning Tree,239 Burning Tree,http://www.abodeservices.org/,Abode Services,(408) 941-1850
27,Calvin,3456 Calvin Avenue,http://www.abodeservices.org/,Abode Services,(408) 941-1850
28,Canoas Terrace,420 Sands Drive,http://www.fpiliving.com/san-jose-folsom/canoas-terrace-multi-family-apartment-management/,"FPI Management, Inc.",(408) 448-1592
29,Cape Cod Court,3680 Cape Cod Court,,NOI Holdings 20 LP,
30,Capitol Manor,175 N. Capitol Avenue,http://www.capitolmanor.net/,ALTON MANAGEMENT CORPORATION,(408) 251-9132
31,Casa Real,2570 Fontaine Rd.,,KDF Communities LLC,(408) 238-0841
32,Chai House II,814 St Elizabeth Dr,http://jsco.net/property/chai-house-i-ii/,John Stewart Company,(408) 947-1818
33,Charlotte Park,5875 Charlotte Drive,http://www.roemcorp.com/projects/charlotte-park/,,(408) 809-7142
34,Charter Court Apartments,1200 Ranchero Way,,Charter Court SJC LP,(949) 719-1888
35,Cherry Creek,2020 Southwest Expressway,,Village Investments,(408) 287-6274
36,Cinnabar Commons,875 Cinnabar St (Stockton Ave@Lenzen Ave),http://www.cinnabarcommons.com/,"BRIDGE TOWER, LLC",(408) 289-1010
37,Clarendon Street Apartments,7213 Clarendon St.,https://jscosccha.com/property/clarendon-st-apartments/,John Stewart Company,(408) 366-2114
38,Colonnade,201 S 4th Street,http://www.colonnadeapt.com/,"G&K Management Company, Inc.",(877) 254-7982
39,Corde Terra Village Family,2600 Corde Terra Circle,https://fpisccha.com/property/corde-terra-village/,FPI Management Inc.,(408) 298-0866
40,Cornerstone,875 N.10th Street,http://www.cornerstoneatjapantown.com/,EAH Housing Inc.,(877) 223-5923
41,Country Hills Apartments,124 Rancho Drive,https://midpenproperty.midpen-housing.org/propertydetail?id=a0n46000003MN2IAAW,MidPen Property Management Corporation,(408) 578-8441
42,Courtyard Plaza Apartments,2950 Story Road,,Affordable Housing Development Corp,(408)Â 929-4221
43,Curtner,1824 Curtner Avenue,http://www.abodeservices.org,Abode Services,(408) 941-1850
44,David Avenue Apartments,3068 David Avenue,,KDF Communities LLC,(949) 719-1888
45,Delmas Park,350 Bird Avenue,http://www.delmasparkapts.com/,EAH Housing Inc.,(877) 276-7171
46,Dent Commons,5363 Dent Ave,https://midpenproperty.midpen-housing.org/propertydetail?id=a0n46000003MN2MAAW,MidPen Property Management Corporation,(408) 267-4230
47,Don de Dios,987 Fair Avenue,http://www.eahhousing.org/pages/apartmentdetail/76,"EAH Housing, Inc.",(408) 288-7770
48,Donna,1794 Donna Lane,http://www.abodeservices.org/,Abode Services,(408) 941-1850
49,Donner Lofts,158 E. St. John St.,https://midpenproperty.midpen-housing.org/propertydetail?id=a0n46000003MN2OAAW,MidPen Property Management Corporation,(408) 675-6718
50,Eden Palms Apartments,5398 Monterey Road,http://www.edenhousing.org/property/eden-palms,"Eden Housing Management, Inc.",(408) 227-5684
51,El Rancho Verde,300 Checkers Drive,http://www.elranchoverdeapts.com/,Clark Realty Management LLC,(408) 272-0356
52,Elena Gardens,1900 Lakewood Drive,http://www.eahhousing.org/pages/apartmentdetail/81,EAH Housing Inc.,(408) 262-6991
53,Emmanuel Terrace,460 Francis Drive,,Emmanuel Terrace Inc.,(408) 923-8280
54,Enclave,4349 RENAISSANCE DR,http://www.enclaveapartmenthomes.com,Berkshire,(408) 428-9156
55,Fairway Glen,488 Toyon Ave,http://www.fairwayglen.com/,Prime Group,(408) 926-3100
56,Fairways at San Antonio,305 San Antonio Court,http://affirmedhousing.com/projects/fairways/index.html,"Solari Enterprises, Inc.",(408) 923-8424
57,Ford Road Plaza,215 Ford Road,http://www.edenhousing.org/property/ford-road-plaza,"Eden Housing Management, Inc.",(408) 224-0108
58,Fountain Plaza,190 Ryland Street,http://liveatfountainplaza.com/,Alliance Residential Company,(844) 679-2868
59,Foxdale Village Apartments,1250 Foxdale Loop,,Village Investments,(408) 251-1142
60,Giovanni,85 S. 5th Street,http://jsco.net/property/giovanni-center/,John Stewart Company,(408) 288-7436
61,Gish Apartments,35 E. Gish Rd,http://jsco.net/property/gish-apartments/,John Stewart Company,(408) 436-8972
62,Helzer Court,2960 MacIntyre Drive,http://fpisccha.com/property/helzer-courts/,FPI Management Inc.,(408) 264-3237
63,Hillsdale Townhomes,1626-1656 Hillsdale Ave,https://midpenproperty.midpen-housing.org/propertydetail?id=a0n46000003MN2aAAG,MidPen Property Management Corporation,(408) 267-4230
64,Hillview Glen,3220 Pearl Avenue,http://www.edenhousing.org/property/hillview-glen-apartments,"Eden Housing Management, Inc.",(408) 723-1644
65,Huff Gardens,3021 Huff Avenue,http://fpisccha.com/property/huff-gardens/,FPI Management Inc.,(408) 557-8699
66,Italian Gardens,1524 Almaden Road,https://midpenproperty.midpen-housing.org/propertydetail?id=a0n46000003MN2eAAG,MidPen Property Management Corporation,(408) 293-9118
67,Julian Gardens,319 North 8th Street,https://jscosccha.com/property/julian-gardens/,John Stewart Company,(408) 295-8440
68,Kings Crossing,678 North King Road,http://charitieshousing.org/kings-crossing-apartments/,Charities Housing Management,(408) 564-5016
69,La Fenetre,705 Northrup Street and Parkmoor Avenue,http://www.caremgt.com/la-fenetre.html,CA Real Estate Management Corp.,(408)Â 295-2066
70,Las Casitas,632 N. Jackson Ave.,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 251-6850
71,Las Ventanas,1800 Evans Lane,http://www.caremgt.com/las-ventanas.html,CA Real Estate Management Corp.,(408) 265-9300
72,Lexington Apartments,1350 Lexington Dr.,,,N/A
73,Lion Villas,2550 S. King Rd.,http://www.lionvillas.com/,,(888) 319-5479
74,Lucretia Gardens,2034 Lucretia Av,https://jscosccha.com/property/lucretia-gardens/,John Stewart Company,(408) 295-8440
75,Market Gateway Apartments,535 S.Market St,http://www.marketgatewayapts.com/,EAH Housing Inc.,(877) 298-7852
76,Masson Building Rehabilitation Project,161 West Santa Clara Street,,Meacham/Opponheimer,N/A
77,Mayfair Court Apartments,65 McCreery Ave,http://mayfair.pwapt.com/,USA Property Management,(408) 457-3976
78,Mayfair Golden Manor,2627 Madden Avenue,,Mayfair Golden Manor Inc.,(408) 272-1800
79,Miraido Village,566 N. 6th Street,http://www.miraidovillageapartments.com/san-jose-ca-apartments.asp,CAPREIT Residential Corporation,(408) 297-0990
80,Monte Alban,1324 Santee Dr,http://jsco.net/property/monte-alban-apartments/,John Stewart Company,(408) 286-1903
81,Monte Vista Gardens,2601 Nuestra Castillo Court,https://www.jamboreehousing.com/affordable-housing-communities/properties-list/monte-vista-gardens?vwr-type=Partner,"FPI Management, Inc.",(408) 923-3200
82,Monterey Family Apartments,2774 Monterey Road,http://www.buckinghampm.com/property/monterey-village/,Buckingham Property Mgt,(408) 629-5303
83,Monterey Grove,6100 Monterey Rd,http://www.montereygrove.com/,Aimco,(408) 600-3271
84,Moreland Apartments,4375 Payne Avenue,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 554-9585
85,Museum Park,465 W San Carlos St,http://www.essexapartmenthomes.com/california/san-francisco-bay-area/san-jose/museum-park,,(866) 547-5813
86,North Park The Oaks II,25 Rio Robles East,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(877) 660-9147
87,Oak Grove Apartments,5568 Lexington Ave.,http://www.roemcorp.com/projects/oak-grove/,,(408) 960-6295
88,Oak Tree Village,100 Branham Lane East,http://www.caremgt.com/oak-tree-village.html,CA Real Estate Management Corp.,(408) 224-2517
89,Ohlone Chynoweth Commons,5300 Terner Way,http://www.edenhousing.org/property/ohlone-chynoweth-commons,"Eden Housing Management, Inc.",(408) 265-9374
90,Ohlone Court,5225 Terner Way and Winfield Boulevard,http://www.bridgehousing.com/properties/family/santa-clara/san-jose/ohlone,Bridge Property Management Company,(408) 264-5985
91,Orvieto B,80 or 88 Montecito Vista Dr.,,"FPI Management, Inc.",(408) 224-5609
92,Orvieto Family Apartments,80 Montecito Vista Drive,http://www.roemcorp.com/projects/orvieto-family-apartments/,FPI Management Inc.,(408) 224-5609
93,Parkside Glen,810 Hillsdale Avenue and Pearl Avenue,http://www.parksideglen.com/,JRK Investments,(408) 264-8291
94,Parkside Terrace,463 Wooster Ave,,"AFFORDABLE HOUSING ACCESS, INC.",(949) 253-3120
95,Parkview Family,360 Meridian Avenue and San Carlos Street,http://www.eahhousing.org/pages/apartmentdetail/20,"EAH Housing, Inc.",(408) 995-0989
96,Paseo Senter I,"1898, 1908 Senter Rd",http://charitieshousing.org/paseo-senter/,Charities Housing Management,(408) 947-9100
97,Paseo Senter II,1896 Senter Rd,http://charitieshousing.org/paseo-senter/,Charities Housing Management,(408) 947-9100
98,Paula Street,801 Paula Street,http://www.fpiliving.com/san-jose-folsom/paula-apts-multi-family-apartment-management/,"FPI Management, Inc.",(408) 287-7844
99,Pinmore Gardens,1706 Branham Lane,https://fpisccha.com/property/pinmore-gardens/,FPI Management Inc.,(408) 264-3108
100,Plaza Maria,115 East Reed Street,https://www.mercyhousing.org/california/plaza-maria,Mercy Housing Management Group,(408) 293-5253
101,Poco Way,1900 Poco Way,https://fpisccha.com/property/poco-way-apartments/,FPI Management Inc.,(408) 923-2099
102,Raintree,1058 S. Winchester,www.raintreesanjose.com,PinnacleAMS,(408) 296-7578
103,Regency Apartments,1315 Eden Ave,,Village Investments,(408) 378-1970
104,Rincon De Los Esteros,1780 Old Oakland Road,http://jsco.net/property/rincon-de-los-esteros/,John Stewart Company,(408) 437-1303
105,Roewill,1059 Roewill Drive,http://www.abodeservices.org/,Abode Services,(408) 941-1850
106,Rosemary Family,60 E ROSEMARY ST,http://www.roemcorp.com/projects/1st-and-rosemary-family/,FPI Management Inc.,(408) 606-8098
107,San Jose Apartments,1500 Cunningham Avenue,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 272-3311
108,San Jose Gardens,4668 Albany Drive,http://www.sanjosegardens.com/,"G&K Management Company, Inc.",(408) 248-0800
109,San Pedro Square Apts.,155 W. Santa Clara St.,,Meacham Oppenheimer,(408) 817-9435
110,Santa Familia,4984 Severance Drive,https://midpenproperty.midpen-housing.org/propertydetail?id=a0n46000003MN3FAAW,MidPen Property Management Corporation,(408) 448-2946
111,St. Claire Apartments,311 S.First Street,http://www.stclaireapts.com/,,(408) 499-2229
112,Stonegate,4401 Renaissance Drive,http://www.winncompanies.com/san-jose/stonegate/,WinnResidential California LP,(408) 922-7255
113,Summer Breeze,200 Lewis Road,http://www.roemcorp.com/projects/summer-breeze/,FPI Management Inc.,(408) 362-9011
114,Sunset Square,2080 Alum Rock Avenue,http://charitieshousing.org/sunset-square-apartments/,Charities Housing Management,(408) 550-8300
115,Taylor Oaks Apartments,2726-2738 Kollmar,http://www.eahhousing.org/pages/apartmentdetail/124,"EAH, Inc.",(408) 926-3177
116,Terramina Square,410 North White Road,http://www.caremgt.com/terramina-square.html,CA Real Estate Management Corp.,(408) 259-8105
117,The Cypress,75 Rio Robles East,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(877) 660-9147
118,The Grove,510 Branham Lane,http://www.thegroveaptssanjose.com/#Home,C.H.D. PMS,(408) 279-7677
119,The Laurels,185 Estancia Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(877) 660-9147
120,The Met,2122 Monterey Road,http://charitieshousing.org/2112-monterey/,Charities Housing Management,(408) 550-8300
121,The Oaks,39 Rio Robles East,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(877) 660-9147
122,The Pines,70 Descanso Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(877) 660-9147
123,The Redwoods,150 Alicante Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(877) 660-9147
124,The Sycamores,3500 Palmilla Drive,https://www.irvinecompanyapartments.com/communities/north-park,Irvine Management Company,(877) 660-9147
125,Tierra Encantada,1918 Alum Rock Avenue,http://www.fpiliving.com/san-jose-folsom/tierra-encantada-multi-family-apartment-management/,"FPI Management, Inc.",(408) 926-8082
126,Town Park Towers,60 North 3rd Street,http://www.ncphs.org/affordable-housing/town-park-towers-san-jose,Northern California Presbyterian Homes & Services,(408) 288-8750
127,Trestles Apartments,1566 Scott St.,http://www.trestles-apts.com/,Fairfield Trestles L.P.,(408) 293-2727
128,Troy Apartments,714 S ALMADEN AVE,http://www.firsthousing.com/contact/rental/,"FPI Management, Inc.",(408) 287-7844
129,Turnleaf,3201 Loma Verde Drive,http://www.turnleaf-apts.com/,FF Properties LP,(408) 378-9138
130,Valley Palms Apartments,2245 Lanai Ave.,,Village Investments,(408) 251-2746
131,Verandas,1868 North Capitol Avenue,http://www.caremgt.com/the-verandas.html,CA Real Estate Management Corp.,(408) 263-8770
132,Villa Monterey,2898 Villa Monterey,,Village Investments,(408) 365-9200
133,Villa Savannah,4501 Renaissance Drive,http://www.winncompanies.com/san-jose/villa-savannah/,WinnResidential California LP,(408) 922-9980
134,Villa Solera,1385 Lucretia Avenue,http://www.caremgt.com/villa-solera.html,CA Real Estate Management Corp.,(408) 975-0581
135,Villa Torino,29 West Julian Street,http://www.villatorinoapts.com/,Woodmont,(844) 326-6850
136,Villa Torre I,955 S 6th St,http://www.caremgt.com/villa-torre.html,CA Real Estate Management Corp.,(408) 292-4600
137,Villa Torre II,955 S 6th St,http://www.caremgt.com/villa-torre.html,CA Real Estate Management Corp.,(408) 292-4600Â 
138,Vintage Tower,235 East Santa Clara St,http://www.vintagetower.freeservers.com/,Matusich & Raich Property Management,(408) 297-4705
139,Vio,5700 Village Oaks Drive,http://liveatvio.com,Alliance Residential Company,(844) 517-8990
140,Vivente II,5347 Dent Avenue,https://midpenproperty.midpen-housing.org/propertydetail?id=a0n46000003MN3fAAG,MidPen Property Management Corporation,(408) 448-2946
141,Waterford Place,1700 N 1st Street,http://www.essexapartmenthomes.com/apartment/waterford-place-san-jose-ca-4p05i6585075,,(408) 335-0155
142,Willow Creek,925 Willowleaf Dr,http://willowcreeksanjose.com/,Greystar,(877) 959-3369
143,Willow Lake,1331 Lakeshore Circle,http://www.essexapartmenthomes.com/apartment/willow-lake-san-jose-ca-301608561068,,(877) 698-6090
144,Willow Pointe,1010 S. 3rd Street,http://buckinghampm.com/portfolio,Buckingham Property Mgt,(408) 896-5362
145,Willows Apartments,886 Paula Street,https://fpisccha.com/property/willows/,FPI Management Inc.,(408) 280-6389
146,YWCA Third Street,375 South 3rd Street,http://www.ywca-sv.org/contact/index.php,Bridge Property Management Company,(408) 295-4011 ext. 200
1,Arbor Terraces,2760 McKee Road,http://www.caremgt.com/arbor-terraces.html,CA Real Estate Management Corp.,(408) 251-7570
2,Avenida Espana Gardens,181 Rawls Ct.,https://jscosccha.com/property/avenida-espana/,John Stewart Company,(408) 972-5529
3,Belovida Apartments,1777 Newbury Park Drive,http://www.belovidanewburypark.com/,EAH Housing Inc.,(408) 263-8484
4,Brooks House Senior,655 Richmond Avenue,http://www.corpforbetterhousing.com/property/brooks-house/,Domus Management Company,(408) 288-6108
5,Buena Vista Midtown,1523 West San Carlos St,http://www.eahhousing.org/pages/apartmentdetail/116,EAH Housing Inc.,(408) 380-4087
6,Cambrian Center,2360 Samaritan Place,http://www.cambriancenter.org/,"Eden Housing Management, Inc.",(408) 559-0330
7,Carlton Plaza,380 Branham Lane,http://www.carltonseniorliving.com/locations/carlton-plaza-san-jose/,Carlton Plaza of San Jose,(408) 972-1400
8,Casa del Pueblo,200 S. Market Street,http://www.barcelonseniorliving.com/p/senior_apartment/contact_us_5842/san-jose-ca-95113/casa-del-pueblo-5842?fullsite=1,Preservation Partners Management Group,(408) 294-5380
9,Chai House I,814 St Elizabeth Dr,http://jsco.net/property/chai-house-i-ii/,John Stewart Company,(408) 947-1818
10,Corde Terra Village Senior,2600 Corde Terra Circle,https://fpisccha.com/property/corde-terra-senior/,FPI Management Inc.,(408) 298-9988
11,Craig Gardens Apartments,2580 South Bascom,http://www.firsthousing.com/contact/rental/,John Stewart Company,(408) 559-1907
12,Cypress Gardens Senior,3555 Judro Way,https://jscosccha.com/property/cypress-gardens/,John Stewart Company,(408) 248-1442
13,De Rose Gardens,1401 DeRose Way,http://fpisccha.com/property/derose-gardens/,"FPI Management, Inc.",(408) 993-0449
14,El Parador Senior,2561 South Bascom Avenue,https://jscosccha.com/property/el-parador/,John Stewart Company,(408) 626-9262
15,Fuji Towers,690 North 5th Street,http://www.japantownsanjose.org/fujitowers.html,Fuji Towers,(408) 275-8989
16,Gadberry Court,2555 Alum Rock Avenue,http://www.roemcorp.com/projects/gadberry-courts/,FPI Management Inc.,(408) 928-2750
17,Girasol Seniors,1710 Alum Rock Ave.,http://macsa.org/contact/,"FPI Management, Inc.",(408) 926-8140
18,Hacienda Creek Senior,399 East Court,http://www.roemcorp.com/projects/hacienda-creek/,FPI Management Inc.,(408) 885-0551
19,Hilltop Manor,790 Ironwood Drive,http://www.hilltopmanor.org/,"HIlltop Manor, Inc.",(408) 267-2929
20,Japantown Seniors,685 North 6th Street,https://www.cchnc.org/locations/japantown-senior-apartments/,"Christian Church Homes of Northern California, Inc.",(408) 573-7924
21,Jardines Paloma Blanca,132 North Jackson Avenue,http://macsa.org/contact/,"FPI Management, Inc.",(408) 937-4781
22,Jeanne D'Arc Manor,85 S. 5th Street,http://jsco.net/property/jeanne-darc-manor/,John Stewart Company,(408) 288-7421
23,Las Golondrinas,77 Kentucky Place,http://macsa.org/contact/,"FPI Management, Inc.",(408) 937-1135
24,Le Mirador,1191 Coleman Road and Almaden Expressway,http://www.caremgt.com/le-mirador.html,CA Real Estate Management Corp.,(408) 268-9310
25,Lenzen Gardens Senior,893 Lenzen Avenue,https://jscosccha.com/property/lenzen-gardens/,John Stewart Company,(408) 295-8440
26,Mabuhay,270 E. Empire Street,http://www.bridgehousing.com/properties/senior/santa-clara/san-jose/mabuhay,Bridge Property Management Company,(408) 885-0448
27,Meadows,513 Branham Lane East,http://www.communityhousingsv.org/,C.H.D. PMS,(408) 279-7677
28,Miranda Villa,2094 Forest Avenue,http://www.caremgt.com/miranda-villa.html,CA Real Estate Management Corp.,(408) 295-5581
29,Monte Vista Gardens Sr. Housing I,2605 La Hacienda Ct,http://www.roemcorp.com/projects/monte-vista-senior-i/,FPI Management Inc.,(408) 928-2750
30,Monte Vista Gardens Sr. Housing II,2600 Nuestra Castillo Ct,http://www.roemcorp.com/projects/monte-vista-senior-ii/,FPI Management Inc.,(408) 928-2750
31,Morrone Gardens,1107 Luchessi Drive,https://fpisccha.com/property/san-pedro-gardens/,FPI Management Inc.,(408) 225-1172
32,Oak Circle,1410 Roberts Avenue,http://www.bridgehousing.com/properties/senior/santa-clara/san-jose/oak-circle,Bridge Property Management Company,(408) 971-9099
33,Oaks of Almaden,5050 Russo Drive,http://www.roemcorp.com/projects/oaks-of-almaden/,FPI Management Inc.,(408) 265-7248
34,Palm Court Seniors,1200 Lick Avenue near Humboldt Street and Palm Street,http://www.thepalmcourtapts.com/,"EAH Housing, Inc.",(877) 908-3201
35,Parkview Seniors,355 Race Street and San Carlos Street,http://www.eahhousing.org/pages/apartmentdetail/64,EAH Property Management,(408) 287-1860
36,Plaza Del Sol,1380 Blossom Hill Road,http://www.caremgt.com/plaza-del-sol.html,CA Real Estate Management Corp.,(408) 264-0900
37,Quail Hills Sr.,1260 Piedmont Road and Sierra Road,http://www.caremgt.com/qual-hills.html,CA Real Estate Management Corp.,(408) 926-4250
38,Rose Garden Seniors,3071 Rose Ave,http://www.roemcorp.com/projects/rose-gardens/,FPI Management Inc.,(408) 928-2750
39,Rosemary Seniors,34 E. Rosemary,http://www.fpiliving.com/san-jose-folsom/rosemary-senior-multi-family-apartment-management/,FPI Management Inc.,(408) 606-8098
40,Shiraz Senior,1295 McLaughlin Avenue,http://www.roemcorp.com/projects/shiraz-senior-housing/,FPI Management Inc.,(408) 928-2750
41,Sienna Senior,1496 Almaden Road,http://www.caremgt.com/sienna.html,CA Real Estate Management Corp.,(408) 971-9640
42,Summercrest Villas,1725 Almaden Road,http://www.winncompanies.com/san-jose/summercrest-villas/,WinnResidential California LP,(408) 264-2900
